Codificación,TítuloCompletoEspañol,TítuloCompletoInglés,Descripción,Estatus,TítuloAbreviadoEspañol,TítuloAbreviadoInglés,Créditos,HorasContacto,Año,Semestre,Requisito,Electiva,CursosPrerrequisitos,CursosCorrequisitos,Comentarios,AnejosComentarios,Anejos,FechaUltimaRevisión,Programa,AnejosCometarios
FARM_7101,Desarrollo de Intervenciones Avanzadas en Comunicación en Salud,Development of Advanced Interventions in Health Communications,"En este curso el estudiante tendrá la oportunidad de profundizar y aplicar conceptos de comunicación en salud con énfasis en cuidado farmacéutico. El estudiante desarrollará e implantará un plan de comunicación para atender un asunto o problema de salud o de uso seguro y efectivo de medicamentos. Las actividades instruccionales del curso proveerán además la oportunidad para que los estudiantes, examinen sus destrezas de comunicación oral, escrita  y desarrollen un plan para  atender aspectos  a fortalecer.",1,Des Interv Comu Salud,Dev Adv Interv Health Comm,3.0,54.0,1.0,1.0,True,True,,,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado prontuario,  según el senado Académico del RCM, 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha estableció el Senado Académico del Recinto de Ciencias Médicas, el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Título IX: No Discriminación, según estipulado en el estatuto federal ""Title IX of The Education Amendments of 1972""._x000d_
_x000d_
Se ha modificado Acomodo razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revisado  Integridad Académica, aprobado por el Senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC) al Prontuario, 7 de julio de 2017.",,24 02 16-Registro y Cod de Curso-Desarrollo de Interv Avanzadas-MV-rev EAC.docx;FARM 7101 Desarrollo de Intervenciones Avanzadas en Comunicacion en Salud 18 nov 22.docx;FARM 7101-Desarrollo de Intervenciones Avanzadas en Comunicacion en Salud 5 oct 20.docx;FARM 7101-Desarrollo de Intervenciones Avanzadas en Comunicacion en Salud 5 oct 20.pdf;FARM 7101-Desarrollo de Intervenciones Avanzadas en Comunicacion en Salud-rev EAC 6-2016-1.docx;FARM 7101-Desarrollo de Intervenciones Avanzadas en Comunicacion en Salud-rev EAC 6-2016-1.pdf,2022-11-18,PharmD,
FARM_7105,"Seminario Teórico Práctico de Fundamentos Sicosociales, Cultura y Gerencia I","Psychosocial Basis, Culture and Management Theory-Practice Seminar I","El Bloque de Seminario Teórico Práctico de Fundamentos Sicosociales, Cultura y Gerencia integra sistemática y progresivamente los fundamentos sicosociales del currículo profesional liberal.  El mismo se desarrolla a lo largo de cinco semestres académicos en los primeros dos años y medio del programa de estudios.  En este curso del primer semestre del primer año profesional, se estudian los fundamentos y coceptos básicos de ética y bioética.  Además, el estudiante tendrá la oportunidad de exponerse y profundizar en aspectos de cultura y procesos históricos a través de la unidad de Antropología Farmacéutica.  El estudiante comenzará a desarrollar los siguientes conceptos mayores: fundamentos sicosociales, cultura y práctica profesional.",1,Fund Sicosocial I,Psychosocial Basis I,3.0,54.0,1.0,1.0,True,False,Ninguno,Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revisado Integridad Academica, aprobado por el senado Acadmico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017._x000d_
_x000d_
Solicitud de Cambio en Curso Registrado, 11 de mayo de 2016 por Dra. Edna Almodóvar. Ver anejos._x000d_
_x000d_
Revisado por Dra. María V.Pi Portales el 12 de julio de 2011._x000d_
_x000d_
Se realizó cambio en curso registrado: Descripción en español e inglés 12 de julio de 2007",,"FARM 7105 - Fundamentos Sicosociales, Cultura y Gerencia I 5 oct 20.doc;FARM 7105 - Fundamentos Sicosociales, Cultura y Gerencia I 5 oct 20.pdf;FARM 7105 - Fundamentos Sicosociales, Cultura y Gerencia I-Ofic 05 11 16.pdf;FARM 7105 Fundamentos Sicosociales, Cultura y Gerencia 18 nov 22.docx;FARM 7105_ FARM 7106 Modificacion-Ofic Adm Central.pdf;FARM 7105-Solic cambio en curso registrada.pdf",2022-11-18,PharmD,
FARM_7106,"Seminario Teórico Práctico de Fundamentos Sicosociales, Cultura y Gerencia II","Psychosocial Basis, Culture and Management Theory-Practice Seminar II","En este curso del segundo semestre del primer año profesional se continuará desarrollando la unidad de fundamentos sicosociales presentada en el  Seminario Teórico Práctico de Fundamentos Sicosociales, Cultura y Gerencia I. El estudiante aplicará los contenidos de Ética Profesional. En los contenidos de comunicación tendrá oportunidad para ampliar, profundizar y aplicar conceptos de comunicación en salud con énfasis en cuidado farmacéutico. Se utilizarán estrategias y metodologías de aprendizaje activo, además de la conferencia.",1,Fund Sicosocial II,Psychosocial Basis II,3.0,54.0,1.0,2.0,True,False,"FARM 7105- Seminario Teórico Práctico de Fundamentos Sicosociales, Cultura y Gerencia I",Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revidado Integridad Academica, aprobado por el Senado Academico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017._x000d_
_x000d_
Solicitud de Cambio en Cursos Registrados, 11 de mayo de 2016, por Dra. Edna Almodóvar. Ver anejos._x000d_
_x000d_
Revisado por Dra. María V. Pi Portales en marzo, 2010._x000d_
_x000d_
Se realizó cambio en curso registrado: Prerequisito; Descripción en español e inglés, el 31 de octubre de 2007.",,"FARM 7106 - Fundamentos  Sicosociales, Cultura y Gerencia II 5 oct 20.doc;FARM 7106 - Fundamentos  Sicosociales, Cultura y Gerencia II 5 oct 20.pdf;FARM 7106 - Fundamentos  Sicosociales, Cultura y Gerencia II-Ofic 05 11 16.doc;FARM 7106 - Fundamentos  Sicosociales, Cultura y Gerencia II-Ofic 05 11 16.pdf;FARM 7106 Fundamentos  Sicosociales, Cultura y Gerencia II 18 nov 22.docx;FARM 7106-Sol Cambio en Curso Oficial.pdf;FARM 7106-Sol CambiosCursos (Anejo8)-2016-EA.docx",2022-11-18,PharmD,
FARM_7107,Introducción al Uso de la Microcomputadora y sus Aplicaciones,Introduction to the Use of Microcomputers and Its Applications,"En este curso electivo de primer año profesional se desarrollan los conceptos básicos de los sistemas de información, en particular de la microcomputadora. Se practican las principales aplicaciones o programados, a saber, sistemas operativos, para procesar palabras, manejo de hojas electrónicas, presentaciones, bases de datos y telecomunicaciones (incluyendo acceso a correo electrónico, al ""world wide web"" y a computadores remotos). Para ello se utilizan los programados incluidos en el paquete Microsoft Office. En el curso se utilizarán metodologías de aprendizaje activo.",1,Introducn Uso Computadora,Introduct Use Microcomput,3.0,54.0,1.0,2.0,False,True,Ninguno,Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revisado Integridad Academica, aprobado por el Senado Academica, aprobado por el Senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017._x000d_
_x000d_
Revisado por Dra. María V. Pi Portales en marzo, 2011._x000d_
_x000d_
Se realizó cambio en curso registrado: modificación en las descripciones del curso el 16 de octubre de 2007.",,FARM 7107 Introducción al Uso de la Microcomputadora 18 nov 22.docx;FARM 7107 Introducción al Uso de la Microcomputadora 5 oct 20.doc;FARM 7107 Introducción al Uso de la Microcomputadora 5 oct 20.pdf;FARM 7107 Introducción al Uso de la Microcomputadora y sus A.doc;FARM 7107 Introducción al Uso de la Microcomputadora y sus A.pdf;FARM 7107-Sol Cambio en Curso Oficial.pdf,2022-11-18,PharmD,
FARM_7108,Estadística No-Paramétrica en las Ciencias de la Salud,Non-Parametric Statistics for Health Professions,"Se presentan los conceptos básicos de inferencia estadística relacionados a pruebas de hipótesis y métodos estadísticos para variables de libre distribución.  Dichos métodos representan alternativas a los métodos paramétricos, que requieren distribución normal.  Se presentan aplicaciones en el escenario de la investigación, particularmente en el área de las ciencias de la salud.  Junto a los métodos tradicionales de solución de problemas matemáticos, se incorpora el uso de la microcomputadora, aplicaciones estadísticas y recursos en línea disponibles a través de la “telaraña” o “world wide web”.  Se utilizarán estrategias y metodologías de aprendizaje activo.",1,Estad No Para Cienci Salud,Non – Para Stat Health Prof,3.0,54.0,2.0,1.0,False,True,"Curso de Precálculo y Cálculo diferencial, según requeridos a los candidatos a admisión al Programa de Doctorado en Farmacia",Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revisado Integridad Académica, aprobado por el Senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017.",,FARM 7108 Estadística No-Paramétrica en las Ciencias de la S 18 nov 22.docx;FARM 7108 Estadística No-Paramétrica en las Ciencias de la S 5 oct 20.doc;FARM 7108 Estadística No-Paramétrica en las Ciencias de la S 5 oct 20.pdf;FARM 7108 Estadística No-Paramétrica en las Ciencias de la S.doc;FARM 7108 Estadística No-Paramétrica en las Ciencias de la S.pdf,2022-11-18,PharmD,
FARM_7115,Practicum Introductorio,Introductory Practicum,"Esta práctica está diseñado para proveer al estudiante una visión amplia de la ciencia y la profesión de farmacia y las oportunidades para el ejercicio profesional que existen. El estudiante observa, practica y analiza, de acuerdo con su nivel de desarrollo, las responsabilidades y actividades que desempeñan los farmacéuticos en una variedad de escenarios, con énfasis en aquellas que ejercen como miembros de un equipo de trabajo.  El estudiante practica en farmacia de comunidad, farmacia en sistema de salud y en un escenaro no tradicional (industria farmacéutica, droguería, farmacia especializada, entre otros).  Los estudiantes se reúnen en sesiones de grupo en la sala de clases antes y despues de visitar cada escenario.  Se utilizan estrategias y metodologías instruccionales de aprendizaje activo.",1,Practicum Introductorio,Introductory Practicum,1.5,54.0,1.0,2.0,True,False,"FARM 7165, FARM 7166, FARM 7167, FARM 7116, FARM 7105, FARM 7135 Y FARM 7117",Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revisado Integridad Académica, aprobado por el Senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017._x000d_
_x000d_
Se solicitó cambio en curso registrado: Prerequisitos, horas de contacto y en descripciones, realizado y registrado e 30 de octubre de 2014, por administracion central. _x000d_
_x000d_
Revisado por Dra.María V. Pi Portales en diciembre, 2009._x000d_
_x000d_
Se solicitó cambio en curso registrado: Prerrequisitos, Horas de Contacto; Descripción",,FARM 7115 - Practicum  Introductorio 5 oct 20.doc;FARM 7115 - Practicum  Introductorio 5 oct 20.pdf;FARM 7115 - Practicum  Introductorio-Rev Ofic Adm Central 07 11 14.doc;FARM 7115 - Practicum  Introductorio-Rev Ofic Adm Central 07 11 14.pdf;FARM 7115 Practicum  Introductorio 18 nov 22.docx;FARM 7115-Solic Cambio en Curso Oficial.pdf;Modificacion FARM 7115-Practicum Introductorio-07 11 2014.pdf,2022-11-18,PharmD,
FARM_7116,Promoción de la Salud y Prevención de Enfermedades,Health Promotion and Disease Prevention,"Este curso corresponde al Bloque del Seminario Teórico Práctico de Fármaco, Salud, Enfermedad y Política Pública.  El curso desarrolla de forma progresiva el marco conceptual de salud-enfermedad como uno contínuo.  Analiza el ambiente de la salud y la historia natural de las enfermedades.  Incorpora el estudio de las estrategias epidemiológicas, aspectos poblacionales y de estadísticas vitales.  Se debate sobre los retos y estrategias de intervención del farmacéutico en la salud pública, con énfasis en la promoción de la salud y la prevención de enfermedades.  Estos contenidos se desarrollarán con las estrategias de ECA, “Problem Posing” y PBL.",1,Prom Salud Preven Enf,Health Promo Disease Prevn,3.0,54.0,1.0,1.0,True,False,Ninguno,Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revisado Integridad Académica, aprobado por el Senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017.",,FARM 7116 - Promoción de la Salud y Prevención Enfermedades 5 oct 20.doc;FARM 7116 - Promoción de la Salud y Prevención Enfermedades 5 oct 20.pdf;FARM 7116 - Promoción de la Salud y Prevención Enfermedades-.doc;FARM 7116 - Promoción de la Salud y Prevención Enfermedades-.pdf;FARM 7116 Promoción de la Salud y Prevención Enfermedades 18 nov 22.docx,2022-11-18,PharmD,
FARM_7117,Seminario Integrador de Cuidado Farmacéutico y Desarrollo Humano I,Integrative Seminar of Pharmaceutical Care and Human Development I,"NUEVA DESCRIPCIÓN EN ESPAÑOL_x000d_
_x000d_
El Seminario Integrador I se constituye en el centro unificador del currículo.  En éste se introduce al estudiante a la práctica profesional en Cuidado Farmacéutico y a implementar el proceso de cuidado al paciente. Se estudian y aplican las diez competencias y se incorporan progresivamente los aprendizajes mayores alcanzados en los otros cursos.  Además, se introducen y practican los conceptos básicos de educación interprofesional.  El seminario guía al estudiante en la preparación de su portafolio que evidencia el desarrollo de las competencias a lo largo de su experiencia académica.  En el primer semestre del primer año profesional, el estudiante se expondrá de forma introductoria a: las competencias como objeto de estudio, la filosofía de cuidado farmacéutico y la conceptuación de la práctica de cuidado farmacéutico El seminario estimula la reflexión educador-educando mediante metodologías de aprendizaje activo.",1,Seminario Integrador I,Integrative Seminar I,3.0,54.0,1.0,1.0,True,False,Ninguno,Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Solicitud de Cambio en Cuso Registrado aprobado por Administración Central, cambio en descripciones, 27 de feb 2018.",,FARM 7117 - Seminario Integrados I 5 oct 20.docx;FARM 7117 - Seminario Integrados I 5 oct 20.pdf;FARM 7117 Seminario Integrados I 18 nov 22.docx;Prontuario FARM 7117_Admin Central-27-feb-18.docx;Prontuario FARM 7117_Admin Central-27-feb-18.pdf,2022-11-18,PharmD,
FARM_7118,Seminario Integrador de Cuidado Farmacéutico y Desarrollo Humano II,Integrative Seminar of Pharmaceutical Care and Human Development II,"En este seminario se continúa el desarrollo de la conceptuación del Cuidado Farmacéutico y de la implantación del proceso de cuidado al paciente.  Se estudian y aplican las diez competencias y se incorporan progresivamente los aprendizajes mayores alcanzados en los otros cursos.  El seminario guía al estudiante en la preparación de su portafolio que evidencia el desarrollo de las competencias a lo largo de su experiencia académica.  Se dará énfasis a la unificación del saber científico y creativo.  Esto ofrece al estudiante la oportunidad de integrar el aprendizaje que ocurre en los distintos bloques, con el fin de establecer el papel que desempeñan los fundamentos del currículo en la práctica del cuidado farmacéutico.  Se hará énfasis en el desarrollo de las competencias de cuidado farmacéutico, pensamiento crítico, solución de problemas y autoaprendizaje.  El seminario estimula la reflexión educador-educando mediante metodologías de aprendizaje activo.",1,Seminario Integrador II,Integrative Seminar II,1.0,18.0,1.0,2.0,True,False,FARM 7117 - Seminario Integrador de Cuidado Farmacéutico y Desarrollo Humano I,Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Solicitud de Cambio en Curso Registrado aprobado por Administración Central, cambio en descripciones, 27 de feb 2018._x000d_
_x000d_
Se ha revisado Integridad Académica, aprobado por el senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017.",,FARM 7118 - Seminario Integrados II 5 oct 20.doc;FARM 7118 - Seminario Integrados II 5 oct 20.pdf;FARM 7118 Seminario Integrados II 18 nov 22.docx;FARM 7118-Solic Cambio Curso Ofic-27 02 18.pdf;Prontuario FARM 7118_Admin Central-27-feb-18.doc;Prontuario FARM 7118_Admin Central-27-feb-18.pdf,2022-11-18,PharmD,
FARM_7135,"Laboratorio de Investigación, Educación y Método Científico I","Research, Education and Scientific Method Laboratory I","El Laboratorio de Investigación, Educación y Método Científico aborda la educación, la investigación y el método científico de manera integrada.  El mismo se desarrolla a lo largo de los cuatro años de estudios.  En el primer semestre del primer año profesional, el estudiante se expondrá de forma introductoria a la terminología básica del concepto de educación y el de investigación.  Los estudiantes aplicarán los fundamentos de la química y la matemática y el método científico.  Las experiencias educativas se desarrollarán mediante estrategias, tales como:  aprendizaje basado en problemas (PBL), exploración, conceptualización y aplicación (ECA) y planteamiento de problemas (Problem Posing).",1,Laboratorio I,Laboratory I,1.0,54.0,1.0,1.0,True,False,Ninguno,"FARM 7105 - Seminario Teórico Práctico de Fundamentos Sicosociales, Cultura y Gerencia I; FARM 7165 – Fundamentos Científicos para la Practica Profesional: Anatomía y Fisiología I; FARM 7166- Fundamentos Científicos para la Práctica Profesional: Matemática, Química y Física; FARM 7167- Fundamentos Científicos para la Práctica Profesional: Bioquímica I               ","Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Solicitud de Cambio en Curso aprobada por Administración Central, 28 feb 18, cambio en prerrequisitos._x000d_
_x000d_
Se ha revisado Integridad Académica, aprobado por el senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017._x000d_
_x000d_
Revisado por Dra. Edna Almodóvar y Dr Jonathan Hernández en junio 15, 2015._x000d_
_x000d_
Se  realizó cambio en curso registrado: Correquisitos el 23 de mayo de 2007.",,FARM 7135 - Lab Inv Educ y Met Cient I 5 oct 20.doc;FARM 7135 - Lab Inv Educ y Met Cient I 5 oct 20.pdf;FARM 7135 - Lab Inv Educ y Met Cient-Rev RG-EA-JH 12-06-15-Rev Bibliografia JH.doc;FARM 7135 - Lab Inv Educ y Met Cient-Rev RG-EA-JH 12-06-15-Rev Bibliografia JH.pdf;FARM 7135 - Laboratorio Investigación Educación y Método Ci -AprFacultad(4-26-19).docx;FARM 7135 - Laboratorio Investigación Educación y Método Ci -AprFacultad(4-26-19).pdf;FARM 7135 Lab Inv Educ y Met Cient I 18 nov 22.docx;FARM 7135-Solic Cambio en Curso Oficial.pdf,2022-11-18,PharmD,
